Title,Url,Date
臺灣證券交易所訂於2月3日召開有價證券上市審議委員會第879次會議，將審議華德動能科技(股)公司之申請股票創新板上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0e719b9e0107,1150130
臺灣證券交易所訂於2月3日召開有價證券上市審議委員會第878次會議，將審議基龍米克斯生物科技(股)公司之申請股票創新板上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0e6a06f00103,1150130
投資配息型ETF，你不可不知的收益平準金!,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0e62bd6600ff,1150130
本週發行量加權股價指數漲幅約為0.32%，上市股票總市值達104.52兆元,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0e25a5c000f0,1150130
心誠鎂行動醫電股份有限公司股票自115年2月2日開始上市買賣,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0dc73f3f00ec,1150130
凱基投信募集發行之凱基台灣 TOP 50 ETF及安聯投信募集發行之安聯台灣主動式ETF，自115年2月3日起掛牌上市，並得辦理融資融券,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0dbc685100e7,1150130
115年2月16日至2月20日證券市場休市,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0d7f8f3800e3,1150130
證交所將於本（115）年1月30日公布113年度上市公司董事及監察人酬金實際支領情形,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c092b616d00d2,1150129
證交所創新板 X 文總《創新辦桌》系列影片 以影像及文化驅動創新革命！,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0402462d00c2,1150128
臺日跨境連結再進一步，國泰推全臺首檔投資日本不動產之ETF,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c03facc6e00be,1150128
臺灣證券交易所有價證券上市審議委員會審議通過永悅健康股份有限公司初次申請創新板股票上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c03f8cabe00ba,1150128
富田電機股份有限公司股票自115年1月29日於臺灣創新板上市開始買賣,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c03f69f5a00b6,1150128
奧義賽博-KY創（證券代號：7823）採競價拍賣方式辦理承銷，於1月27日順利完成,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c03c735d800b1,1150128
臺灣證券交易所有價證券上市審議委員會審議通過享溫馨企業股份有限公司初次申請股票上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bfee37840008f,1150127
證交所舉辦投信及證券商頒獎典禮 獎勵發行與造市績優業者,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bfa250c26008b,1150126
